site_id,elevation,shore,snow_t,snow_t1,date,year,day,order,pit_tag_ref,donor,sex,length,weight,bd_load,survival
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013711374,72996,f,55,13,0,1
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013713217,72996,f,50,12,NA,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013713747,72996,m,48,12,7056,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121013715395,72996,m,49,10,123600,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001027669,70567,m,52,16,0,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001027732,70567,m,58,20,1296,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001027825,70567,m,50,14,0,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001027943,70567,f,61,22,3024,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001028253,70567,m,52,16,192,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001028329,70567,m,43,16,9552,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001028660,70567,f,62,26,NA,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001028708,70567,m,60,24,NA,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001028945,70567,f,54,20,59760,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029064,70567,f,65,33,48,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029071,70567,f,60,26,NA,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029179,70567,m,55,23,6912,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029276,70567,f,53,14,NA,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029608,70567,f,53,18,0,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029614,70567,m,51,11,NA,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029701,70567,f,54,16,288,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029717,70567,f,54,18,7920,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029743,70567,f,55,19,NA,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029880,70567,f,57,20,0,0.3333333333333333
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001029981,70567,f,52,15,28176,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030121,70567,m,53,16,1008,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030201,70567,f,61,24,1536,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030233,70567,m,49,12,NA,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030336,70567,f,57,20,672.0000000000001,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030340,70567,m,60,14,NA,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030433,70567,f,55,20,864,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030450,70567,f,54,18,1152,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001030621,70567,f,61,29,0,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001057556,70567,f,55,22,0,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001057650,70567,f,64,38,4944,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001057684,70567,m,60,24,3744,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001057993,70567,f,59,24,NA,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001058076,70567,m,53,20,4704,0.3333333333333333
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001058227,70567,m,49,14,23568,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001058357,70567,m,60,24,1584,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001059017,70567,f,55,22,288,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001059382,70567,m,50,15,0,1
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,900118001064566,70567,f,59,23,96,0
70413,3322,1,44.958,40.64,2013-07-15,2013,196,1,985121019071757,70567,f,59,22,0,1
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,121012035780,72996,m,56,14,2256,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001027915,72996,f,50,12,26400,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001029790,72996,f,53,14,240,1
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001029978,72996,m,55,16,6192,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001030064,72996,f,48,10,11088,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001030547,72996,f,49,10,480,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001031300,72996,m,55,16,96,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001031708,72996,m,49,10,11712,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001057400,72996,f,48,12,5712,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001057931,72996,m,53,15,1392,1
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001057979,72996,m,52,13,5712,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001058038,72996,f,50,12,2640,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001058090,72996,f,48,12,768,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001058319,72996,f,52,12,29136,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001058985,72996,m,51,12,69984,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001059649,72996,f,56,14,1488,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001059787,72996,m,50,12,1488,1
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001060646,72996,f,51,11,2112,0
70505,2879,0,44.958,40.64,2013-07-16,2013,197,2,900118001065405,72996,f,57,14,576,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001028456,72996,m,52,14,133392,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001029814,72996,f,57,16,2928,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001030025,72996,m,52,15,21695.999999999996,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001030063,72996,m,54,14,55248,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001030093,72996,f,49,14,7296,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001030163,72996,f,50,12,960,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001030750,72996,f,50,12,816.0000000000001,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001031196,72996,f,49,14,69072,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001031343,72996,f,56,16,9456,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001031348,72996,f,51,12,146160,1
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001031752,72996,f,48,12,32016,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001057579,72996,f,48,12,112704,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001057905,72996,m,54,16,9840,1
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001058841,72996,f,49,12,30192,1
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001058870,72996,m,54,16,576,1
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001059003,72996,m,51,11,1584,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001059949,72996,f,48,12,2016,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001065754,72996,f,48,12,2448,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,900118001067329,72996,m,48,11,48,0
70550,3200,1,44.958,40.64,2013-07-16,2013,197,2,985121013702904,72996,m,51,14,120864,1
