site_id,visit_date,survey_type,capture_life_stage,capture_animal_state,pit_tag_ref,sex
70413,2014-07-11,cmr,adult,healthy,900118001027669,m
70413,2014-07-11,cmr,adult,healthy,900118001028117,f
70413,2014-07-11,cmr,adult,healthy,900118001028329,m
70279,2014-07-11,cmr,adult,healthy,900118001029064,f
70279,2014-07-11,cmr,adult,healthy,900118001029179,m
70449,2014-07-11,cmr,adult,healthy,900118001029229,f
70449,2015-06-20,cmr,adult,healthy,900043000104542,m
70279,2014-07-11,cmr,adult,healthy,900118001029717,f
70413,2014-07-11,cmr,adult,healthy,900118001029981,f
70413,2014-07-11,cmr,adult,healthy,900118001030233,m
70413,2013-08-03,cmr,adult,healthy,900118001028708,m
70413,2013-08-01,cmr,adult,healthy,900118001028708,m
70413,2014-07-11,cmr,adult,healthy,900118001030340,m
70413,2013-08-01,cmr,adult,healthy,900118001030121,m
70505,2013-08-05,cmr,adult,healthy,900118001058090,f
70505,2013-08-02,cmr,adult,healthy,900118001058090,f
70413,2014-07-11,cmr,adult,healthy,900118001030433,f
70279,2014-07-11,cmr,adult,healthy,900118001030450,f
70279,2014-07-11,cmr,adult,healthy,900118001031580,f
70279,2014-07-11,cmr,adult,healthy,900118001057684,m
70279,2014-07-11,cmr,adult,healthy,900118001058076,m
70413,2014-07-11,cmr,adult,healthy,900118001058227,m
70413,2014-07-11,cmr,adult,healthy,900118001058357,m
70449,2014-07-11,cmr,adult,healthy,900118001058387,f
70449,2014-07-12,cmr,adult,healthy,900043000104512,f
70449,2014-07-12,cmr,adult,healthy,900043000104522,m
70449,2014-07-12,cmr,adult,healthy,900043000104529,f
70449,2014-07-12,cmr,adult,healthy,900043000104530,f
70449,2014-07-12,cmr,adult,healthy,900043000104553,f
70449,2014-07-12,cmr,adult,healthy,900043000104556,f
70449,2014-07-12,cmr,adult,healthy,900043000104561,m
70449,2014-07-12,cmr,adult,healthy,900043000104567,f
70449,2014-07-12,cmr,adult,healthy,900043000104568,f
70413,2014-07-12,cmr,adult,healthy,900118001027669,m
70413,2014-07-12,cmr,adult,healthy,900118001028117,f
70413,2014-07-12,cmr,adult,healthy,900118001028329,m
70413,2014-07-12,cmr,adult,healthy,900118001028945,f
70279,2014-07-12,cmr,adult,healthy,900118001029064,f
70413,2014-07-12,cmr,adult,healthy,900118001029071,f
70279,2014-07-12,cmr,adult,healthy,900118001029179,m
70279,2014-07-12,cmr,adult,healthy,900118001029717,f
70413,2014-07-12,cmr,adult,healthy,900118001029880,f
70413,2014-07-12,cmr,adult,healthy,900118001029981,f
70413,2014-07-12,cmr,adult,healthy,900118001030621,f
70279,2014-07-12,cmr,adult,healthy,900118001031580,f
70413,2014-07-12,cmr,adult,healthy,900118001057993,f
70413,2014-07-12,cmr,adult,healthy,900118001058227,m
70413,2014-07-12,cmr,adult,healthy,900118001058357,m
70449,2014-07-12,cmr,adult,healthy,900118001058387,f
70505,2014-07-13,cmr,adult,healthy,900118001027865,f
70505,2014-07-13,cmr,adult,healthy,900118001029679,f
70505,2014-07-13,cmr,adult,healthy,900118001057628,f
70505,2014-07-14,cmr,adult,healthy,900043000104416,f
70505,2014-07-14,cmr,adult,healthy,900043000104434,m
70505,2014-07-14,cmr,adult,healthy,900043000104446,m
70505,2014-07-14,cmr,adult,healthy,900043000104455,f
70505,2014-07-14,cmr,adult,healthy,900043000104472,m
70505,2014-07-14,cmr,adult,healthy,900043000104477,f
70505,2014-07-14,cmr,adult,healthy,900043000104495,f
70505,2014-07-14,cmr,adult,healthy,900118001027865,f
70550,2014-07-14,cmr,adult,healthy,900118001028223,f
70550,2014-07-14,cmr,adult,healthy,900118001028627,m
70550,2014-07-14,cmr,adult,healthy,900118001029486,f
70550,2014-07-14,cmr,adult,healthy,900118001029643,f
70550,2014-07-14,cmr,adult,healthy,900118001031348,f
70505,2013-08-16,cmr,adult,healthy,900118001058319,f
70550,2014-07-14,cmr,adult,healthy,900118001057432,f
70550,2014-07-14,cmr,adult,healthy,900118001057815,f
70550,2014-07-14,cmr,adult,healthy,900118001058953,m
70550,2014-07-14,cmr,adult,healthy,900118001058971,m
70550,2014-07-14,cmr,adult,healthy,900118001065568,m
70550,2014-07-14,cmr,adult,healthy,985121013711006,f
70550,2014-07-14,cmr,adult,healthy,985121013713983,f
70550,2014-07-14,cmr,adult,healthy,985121019062559,m
70505,2014-07-14,cmr,adult,healthy,985121019076143,m
70550,2014-07-14,cmr,adult,healthy,985121019077514,m
70550,2014-07-14,cmr,adult,healthy,985121019093988,f
70505,2014-07-15,cmr,adult,healthy,900043000104445,f
70505,2014-07-15,cmr,adult,healthy,900043000104446,m
70550,2014-07-15,cmr,adult,healthy,900118001027748,m
70550,2014-07-15,cmr,adult,healthy,900118001027920,f
70505,2014-07-15,cmr,adult,healthy,900118001029679,f
70505,2014-07-15,cmr,adult,healthy,900118001029790,f
70550,2014-07-15,cmr,adult,healthy,900118001030210,f
