site_id,release_date,years_since_intro,pit_tag_ref,median_survival
70556,2018-08-16,1,900043000144427,1
70556,2018-08-16,1,900043000144446,1
70556,2018-08-16,1,900043000144447,1
70556,2018-08-16,1,900043000144463,1
70556,2018-08-16,1,900043000144465,0
70556,2018-08-16,1,900043000144471,1
70556,2018-08-16,1,900043000144480,0
70556,2018-08-16,1,900043000144482,1
70556,2018-08-16,1,900067000117311,1
70556,2018-08-16,1,900067000117332,1
70556,2018-08-16,1,900067000117357,0
70556,2018-08-16,1,900067000117359,1
70556,2018-08-16,1,900067000117392,1
70556,2018-08-16,1,900067000117401,1
70556,2018-08-16,1,900067000117402,0
70556,2018-08-16,1,900067000117408,1
70556,2018-08-16,1,900067000117422,0
70556,2018-08-16,1,900067000117424,0
70556,2018-08-16,1,900067000117430,0
70556,2018-08-16,1,900067000117431,1
70556,2018-08-16,1,900067000117435,1
70556,2018-08-16,1,900067000117447,0
70556,2018-08-16,1,900067000117454,1
70556,2018-08-16,1,900067000117460,1
70556,2018-08-16,1,900067000117463,1
70556,2018-08-16,1,900067000117464,1
70556,2018-08-16,1,900067000117473,1
70556,2020-07-09,1,900043000144407,1
70556,2020-07-09,1,900043000144411,1
70556,2020-07-09,1,900043000144430,0
70556,2020-07-09,1,900043000144451,1
70556,2020-07-09,1,900043000144466,0
70556,2020-07-09,1,900043000144468,0
70556,2020-07-09,1,900043000144487,1
70556,2020-07-09,1,900043000144670,1
70556,2020-07-09,1,900067000116989,1
70556,2020-07-09,1,900067000117058,1
70556,2020-07-09,1,900067000117096,1
70556,2020-07-09,1,900067000117103,1
70556,2020-07-09,1,900067000117120,0
70556,2020-07-09,1,900067000117134,1
70556,2020-07-09,1,900067000117135,1
70556,2020-07-09,1,900067000117159,1
70556,2020-07-09,1,900067000117219,0
70556,2020-07-09,1,900067000117361,1
70619,2008-07-15,1,985121011981122,0
70619,2008-07-15,1,985121011986696,0
70619,2008-07-15,1,985121011988199,0
70619,2008-07-15,1,985121011991157,0
70619,2008-07-15,1,985121012023060,0
70619,2008-07-15,1,985121012023067,0
70619,2008-07-15,1,985121012024185,1
70619,2008-07-15,1,985121012024211,0
70619,2008-07-15,1,985121012024601,1
70619,2008-07-15,1,985121012025837,1
70619,2008-07-15,1,985121012026041,0
70619,2008-07-15,1,985121012027480,0
70619,2008-07-15,1,985121012027520,0
70619,2008-07-15,1,985121012027625,0
70619,2008-07-15,1,985121012028461,0
