relocate_id,release_siteid1,release_date,collect_siteid,type,pit_tag_ref,sex,length,weight,swab_id,bd_load
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117586,m,47,12,RKS26329,74629.024
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078261,f,48,13,RKS22102,0
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000114169,f,47,11,RKS26330,370.824
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000114129,m,47,11,RKS26331,1365.8
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117322,m,45,9,RKS26332,472.64
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117318,f,51,16,RKS26333,9016.376
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117676,f,46,10,RKS26334,0
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117634,m,44,9,RKS26335,451.264
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117291,f,44,10,RKS26336,2125.792
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117360,f,47,10,RKS26337,1162.592
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117290,f,48,13,RKS26338,70712
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117678,m,47,11,RKS26339,2404.64
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000117308,f,50,14,RKS26340,245.624
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114162,m,47,10,RKS22103,1053.632
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078390,m,47,10,RKS22104,1287.168
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078423,f,45,9,RKS22105,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078025,f,49,12,RKS22106,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114174,m,46,9,RKS22100,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078224,m,48,12,RKS22099,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078229,f,47,10,RKS22098,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114096,f,53,13,RKS22097,0
e37e5253-2e7d-4e9a-a519-8b136cd406e6,70370,2018-07-04,72996,translocation,900067000114095,m,48,12,RKS26328,2956.952
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900043000108171,f,49,12,RKS22095,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078458,f,48,11,RKS22094,586.872
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078478,f,46,9,RKS22093,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078419,f,49,11,RKS22092,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078251,m,45,9,RKS22091,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078376,f,48,12,RKS22090,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078329,m,48,10,RKS22089,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078174,m,50,12,RKS22088,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078357,m,47,11,RKS22087,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078068,f,52,13,RKS22086,586.136
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078264,m,45,9,RKS22085,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078105,f,49,11,RKS22084,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078418,f,47,10,RKS22083,0
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000078126,m,50,12,RKS22082,3031.256
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114141,f,45,11,RKS22081,61372.2
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114093,f,47,11,RKS22080,494780.928
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114170,f,53,16,RKS22079,12369.208
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114167,f,47,10,RKS22078,2345.344
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114140,f,47,10,RKS22077,260341.848
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114103,f,46,9,RKS22076,6259.96
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114131,f,46,10,RKS22075,1583217.968
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114149,f,45,11,RKS22074,42744.592
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114109,f,51,13,RKS22073,35257.912
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114124,m,46,11,RKS22072,115347.272
d1a89e97-d7af-447a-9e05-b24f93823725,70370,2016-07-30,72996,translocation,900067000114161,f,45,9,RKS22071,6817.408
